Date shift from current,Video views,Discussion,Visits
-212,834,110,366
-211,398,35,233
-210,1142,101,336
-209,1233,129,920
-208,2007,227,1134
-207,1961,110,688
-206,2133,145,805
-205,4646,255,1822
-204,9715,247,3084
-203,3936,342,1141
-202,3399,176,1259
-201,4226,580,4143
-200,7629,1609,5960
-199,4004,76,1511
-198,5250,645,3070
-197,4360,78,1557
-196,1738,190,1580
-195,3332,144,1602
-194,5767,880,4887
-193,1720,496,1654
-192,8770,1210,5040
-191,3815,341,1703
-190,10219,554,3464
-189,4744,264,1757
-188,3914,213,3558
-187,8953,650,3610
-186,11693,767,3654
-185,3704,593,3704
-184,6317,790,3760
-183,6055,381,3808
-182,10240,811,3864
-181,6807,587,5868
-180,6534,950,3960
-179,12613,400,4004
-178,3767,304,2025
-177,8126,616,6156
-176,4558,332,4144
-175,11942,587,4190
-174,5594,212,2119
-173,7179,214,2143
-172,2473,304,2169
-171,10702,439,4386
-170,22281,1330,6651
-169,2598,224,2240
-168,2540,363,2268
-167,13734,687,6867
-166,5641,486,2312
-165,15658,1262,4674
-164,5910,142,2364
-163,11859,574,4782
-162,8121,483,4834
-161,3366,390,2439
-160,8276,246,4926
-159,15015,1195,7470
-158,7659,352,2511
-157,10322,1012,5060
-156,3267,536,2552
-155,16461,926,5144
-154,3114,467,2595
-153,13075,732,5230
-152,3060,475,2638
-151,5519,720,2666
-150,13342,1614,5380
-149,12927,1463,8130
-148,21349,1724,8211
-147,4720,552,2760
-146,6679,779,5566
-145,5137,421,2807
-144,7714,1134,5672
-143,15564,1202,5722
-142,19604,404,5766
-141,5820,291,2910
-140,19378,822,5872
-139,20748,948,5928
-138,18196,955,5966
-137,4147,150,3005
-136,6078,816,3024
-135,11521,1280,6096
-134,19182,922,9222
-133,3470,248,3098
-132,7805,468,3122
-131,6910,848,3141
-130,4308,950,3168
-129,6635,223,3190
-128,8517,579,3214
-127,14567,971,9711
-126,4173,978,3260
-125,3480,197,3283
-124,6616,1786,6616
-123,10157,533,3330
-122,15563,402,6708
-121,31922,1824,10134
-120,8165,816,6804
-119,9037,240,3423
-118,12202,827,10341
-117,13537,729,10413
-116,19035,350,6998
-115,9452,705,3527
-114,6072,710,3551
-113,30583,1288,10731
-112,8926,432,3599
-111,9852,1087,7244
-110,5036,584,3649
-109,7348,367,7348
-108,11965,665,7386
-107,8621,446,7432
-106,7632,1010,3741
-105,12425,1130,3765
-104,12052,1137,11370
-103,8550,382,3817
-102,7680,1382,7680
-101,19464,2085,11586
-100,26425,389,7772
-99,3913,939,3913
-98,9754,1062,3933
-97,24917,1424,7910
-96,5329,398,3977
-95,33017,720,12006
-94,12685,242,4027
-93,8908,1620,8098
-92,18587,2446,8152
-91,8694,574,4101
-90,9247,1734,8256
-89,16189,1743,12453
-88,21705,1002,8348
-87,26057,2266,12588
-86,26176,760,8444
-85,20386,2039,8494
-84,14607,1281,8542
-83,20626,2320,8594
-82,11242,865,8648
-81,4435,870,4348
-80,9621,787,8746
-79,15576,2112,8800
-78,15062,620,4430
-77,16829,1603,8904
-76,33839,1611,13428
-75,10082,810,4501
-74,9507,362,4527
-73,41614,1364,13644
-72,28398,960,13719
-71,10297,965,4597
-70,7072,832,4622
-69,12777,465,4646
-68,28973,1682,9346
-67,17198,470,9398
-66,14638,331,4722
-65,40587,1282,14241
-64,24358,1910,9552
-63,18155,1921,9606
-62,5311,435,4828
-61,6217,874,4857
-60,18732,1463,9756
-59,23123,1960,9798
-58,16502,788,4926
-57,22963,693,9898
-56,25462,1392,9946
-55,22491,750,14994
-54,45225,1508,15075
-53,27775,1818,10100
-52,13403,2437,10154
-51,14277,255,5099
-50,27044,1434,10244
-49,24275,1029,10286
-48,22343,724,10344
-47,7065,520,5195
-46,9085,261,5221
-45,28339,3149,10496
-44,17404,3164,15822
-43,10804,794,5296
-42,6061,425,5317
-41,29915,3205,10684
-40,35435,2255,16107
-39,8254,647,5395
-38,30358,2602,10842
-37,30520,3270,10900
-36,11177,2630,10958
-35,6161,550,5501
-34,13039,1658,5525
-33,38850,1554,11100
-32,37451,1672,16719
-31,5599,784,5599
-30,22954,900,11252
-29,47468,2543,16953
-28,11068,795,5676
-27,26880,570,11390
-26,20013,1144,5718
-25,6437,287,5747
-24,7616,1039,5770
-23,10076,1390,5791
-22,18905,1047,5817
-21,14011,467,5838
-20,40434,3164,11720
-19,13409,1411,5881
-18,32129,1890,11812
-17,13046,1601,5930
-16,39310,1906,11912
-15,62769,3228,17934
-14,16325,1200,6002
-13,7594,362,6027
-12,10346,726,6050
-11,12211,1215,6075
-10,17992,1830,6099
-9,18975,1285,6121
-8,7501,1291,6148
-7,18889,3333,12346
-6,16102,1858,12386
-5,12940,2986,12442
-4,25846,1311,18729
-3,16806,3763,12542
-2,16860,1132,6291
-1,10800,1011,6316
0,7356,1015,6341
