Date shift from current,Total learners,Visits,Video Content Examples,Google Document Example,Image Explorer,PDF,iFrame Example,Scorm Example,H5P Content,Calendar + Quizzes,Discussion,Survey Example,Poll Example,Feedback Gathering,Online Lecture/Conference,Single/Multiple Choice,Free Text Response,Staff Graded Assignments,Numerical Input,Math Expression Assessment
-212,122,366,99,44,55,77,91,,,,,,,,,,,,,
-211,233,233,51,28,23,68,63,,,,,,,,,,,,,
-210,336,336,71,50,44,74,97,,,,,,,,,,,,,
-209,460,920,193,92,120,248,267,,,,,,,,,,,,,
-208,567,1134,238,125,170,238,363,,,,,,,,,,,,,
-207,688,688,179,69,89,165,186,,,,,,,,,,,,,
-206,805,805,193,105,97,242,168,,,,,,,,,,,,,
-205,911,1822,419,219,237,492,455,,,,,,,,,,,,,
-204,1028,3084,740,308,463,617,956,,,,,,,,,,,,,
-203,1141,1141,285,137,137,285,297,,,,,,,,,,,,,
-202,1259,1259,252,126,126,378,377,,,,,,,,,,,,,
-201,1381,4143,1036,621,414,911,1161,,,,,,,,,,,,,
-200,1490,5960,1728,715,834,1192,1491,,,,,,,,,,,,,
-199,1511,1511,438,212,212,317,332,,,,,,,,,,,,,
-198,1535,3070,737,430,338,675,890,,,,,,,,,,,,,
-197,1557,1557,420,218,234,405,280,,,,,,,,,,,,,
-196,1580,1580,332,190,190,348,520,,,,,,,,,,,,,
-195,1602,1602,384,240,176,320,482,,,,,,,,,,,,,
-194,1629,4887,1319,733,733,1368,734,,,,,,,,,,,,,
-193,1654,1654,496,248,182,347,381,,,,,,,,,,,,,
-192,1680,5040,1109,605,756,1310,1260,,,,,,,,,,,,,
-191,1703,1703,511,238,204,426,324,,,,,,,,,,,,,
-190,1732,3464,866,520,381,762,935,,,,,,,,,,,,,
-189,1757,1757,510,176,264,422,385,,,,,,,,,,,,,
-188,1779,3558,783,427,498,890,960,,,,,,,,,,,,,
-187,1805,3610,1083,469,433,1047,578,,,,,,,,,,,,,
-186,1827,3654,987,475,438,1060,694,,,,,,,,,,,,,
-185,1852,3704,1074,519,370,926,815,,,,,,,,,,,,,
-184,1880,3760,1053,564,526,902,715,,,,,,,,,,,,,
-183,1904,3808,952,381,495,1104,876,,,,,,,,,,,,,
-182,1932,3864,850,386,425,850,1353,,,,,,,,,,,,,
-181,1956,5868,1467,587,645,1643,1526,,,,,,,,,,,,,
-180,1980,3960,990,594,554,1148,674,,,,,,,,,,,,,
-179,2002,4004,961,601,440,921,1081,,,,,,,,,,,,,
-178,2025,2025,567,304,304,608,242,,,,,,,,,,,,,
-177,2052,6156,1785,739,923,1477,1232,,,,,,,,,,,,,
-176,2072,4144,1036,580,539,953,1036,,,,,,,,,,,,,
-175,2095,4190,1048,629,629,1089,795,,,,,,,,,,,,,
-174,2119,2119,445,297,275,509,593,,,,,,,,,,,,,
-173,2143,2143,493,279,257,600,514,,,,,,,,,,,,,
-172,2169,2169,477,239,217,434,802,,,,,,,,,,,,,
-171,2193,4386,877,614,570,921,1404,,,,,,,,,,,,,
-170,2217,6651,1796,665,931,1596,1663,,,,,,,,,,,,,
-169,2240,2240,493,224,246,560,717,,,,,,,,,,,,,
-168,2268,2268,454,272,318,680,544,,,,,,,,,,,,,
-167,2289,6867,,,,,,1785,687,1511,1099,1785,,,,,,,,
-166,2312,2312,,,,,,694,416,532,277,393,,,,,,,,
-165,2337,4674,,,,,,1028,654,1309,888,795,,,,,,,,
-164,2364,2364,,,,,,567,331,496,236,734,,,,,,,,
-163,2391,4782,,,,,,1196,813,1291,478,1004,,,,,,,,
-162,2417,4834,,,,,,1305,773,1112,677,967,,,,,,,,
-161,2439,2439,,,,,,707,390,683,293,366,,,,,,,,
-160,2463,4926,,,,,,1182,542,1379,591,1232,,,,,,,,
-159,2490,7470,,,,,,1494,1046,2166,1345,1419,,,,,,,,
-158,2511,2511,,,,,,552,402,578,326,653,,,,,,,,
-157,2530,5060,,,,,,1467,810,1164,911,708,,,,,,,,
-156,2552,2552,,,,,,664,383,510,357,638,,,,,,,,
-155,2572,5144,,,,,,1183,566,1440,772,1183,,,,,,,,
-154,2595,2595,,,,,,727,337,545,363,623,,,,,,,,
-153,2615,5230,,,,,,1098,680,1151,523,1778,,,,,,,,
-152,2638,2638,,,,,,765,264,739,396,474,,,,,,,,
-151,2666,2666,,,,,,613,320,613,453,667,,,,,,,,
-150,2690,5380,,,,,,1237,807,1453,592,1291,,,,,,,,
-149,2710,8130,,,,,,1789,1220,2114,1057,1950,,,,,,,,
-148,2737,8211,,,,,,1724,1478,1642,1067,2300,,,,,,,,
-147,2760,2760,,,,,,552,497,800,359,552,,,,,,,,
-146,2783,5566,,,,,,1670,1002,1392,891,611,,,,,,,,
-145,2807,2807,,,,,,674,281,786,365,701,,,,,,,,
-144,2836,5672,,,,,,1191,567,1475,567,1872,,,,,,,,
-143,2861,5722,,,,,,1488,1030,1144,858,1202,,,,,,,,
-142,2883,5766,,,,,,1211,1153,1442,1153,807,,,,,,,,
-141,2910,2910,,,,,,669,291,873,466,611,,,,,,,,
-140,2936,5872,,,,,,1585,1057,1585,822,823,,,,,,,,
-139,2964,5928,,,,,,1304,1067,1482,771,1304,,,,,,,,
-138,2983,5966,,,,,,1313,656,1313,1074,1610,,,,,,,,
-137,3005,3005,,,,,,902,391,841,391,480,,,,,,,,
-136,3024,3024,,,,,,665,393,696,544,726,,,,,,,,
-135,3048,6096,,,,,,1463,1097,1707,853,976,,,,,,,,
-134,3074,9222,,,,,,2767,1199,2767,1107,1382,,,,,,,,
-133,3098,3098,,,,,,744,558,620,310,866,,,,,,,,
-132,3122,3122,,,,,,781,562,718,468,593,,,,,,,,
-131,3141,3141,,,,,,817,408,628,471,817,,,,,,,,
-130,3168,3168,,,,,,950,317,919,539,443,,,,,,,,
-129,3190,3190,,,,,,670,383,798,510,829,,,,,,,,
-128,3214,3214,,,,,,771,514,675,386,868,,,,,,,,
-127,3237,9711,,,,,,2622,1748,2234,1942,1165,,,,,,,,
-126,3260,3260,,,,,,685,456,880,359,880,,,,,,,,
-125,3283,3283,,,,,,985,361,821,361,755,,,,,,,,
-124,3308,6616,,,,,,1456,1059,1985,1323,793,,,,,,,,
-123,3330,3330,,,,,,966,599,699,333,733,,,,,,,,
-122,3354,6708,,,,,,,,,,,1945,1275,1476,805,1207,,,
-121,3378,10134,,,,,,,,,,,2128,1621,2229,1013,3143,,,
-120,3402,6804,,,,,,,,,,,2041,1293,1565,953,952,,,
-119,3423,3423,,,,,,,,,,,890,342,1027,445,719,,,
