Learner,Country,Gender,YOB,Level of Education
Learner 6578,Mexico,Female,1954,Master's Degree
Learner 6579,India,Male,1954,Academic Degree
Learner 6584,Netherlands,Female,1954,Academic Degree
Learner 6603,Turkey,Male,1954,Academic Degree
Learner 6607,Switzerland,Male,1954,Academic Degree
Learner 6616,China,Male,1954,Academic Degree
Learner 6636,India,Male,1954,Master's Degree
Learner 6647,India,Male,1954,Academic Degree
Learner 6651,Mexico,Female,1954,Master's Degree
Learner 6659,Brazil,Female,1954,Master's Degree
Learner 6666,Japan,Female,1954,Master's Degree
Learner 6670,Switzerland,Female,1954,Master's Degree
Learner 6689,Switzerland,Male,1954,Academic Degree
Learner 6693,Switzerland,Female,1954,Academic Degree
Learner 6713,Switzerland,Female,1954,Academic Degree
Learner 6723,Indonesia,Male,1954,Master's Degree
Learner 6729,Mexico,Male,1954,Master's Degree
Learner 6757,China,Female,1954,Academic Degree
Learner 6770,Turkey,Male,1954,Academic Degree
Learner 6772,Netherlands,Male,1954,Master's Degree
Learner 6801,China,Female,1954,Master's Degree
Learner 6824,Netherlands,Male,1954,Academic Degree
Learner 6844,Mexico,Male,1954,Academic Degree
Learner 6880,China,Female,1954,Academic Degree
Learner 6892,Mexico,Male,1954,Master's Degree
Learner 6907,India,Male,1954,Academic Degree
Learner 6921,Japan,Female,1954,Master's Degree
Learner 6934,Ukraine,Male,1954,Academic Degree
Learner 6964,Brazil,Female,1954,Master's Degree
Learner 6971,Mexico,Male,1954,Master's Degree
Learner 6975,China,Female,1954,Academic Degree
Learner 7004,Netherlands,Female,1954,Academic Degree
Learner 7006,Switzerland,Female,1954,Academic Degree
Learner 7007,Netherlands,Female,1954,Academic Degree
Learner 7029,Brazil,Female,1954,Academic Degree
Learner 7031,Brazil,Female,1954,Academic Degree
Learner 7055,China,Male,1954,Academic Degree
Learner 6571,India,Male,1955,Master's Degree
Learner 6573,Netherlands,Male,1955,Academic Degree
Learner 6582,Switzerland,Male,1955,Academic Degree
Learner 6595,Switzerland,Female,1955,Academic Degree
Learner 6598,Indonesia,Female,1955,Master's Degree
Learner 6613,Indonesia,Female,1955,Academic Degree
Learner 6640,Netherlands,Male,1955,Master's Degree
Learner 6641,Ukraine,Male,1955,Academic Degree
Learner 6660,Indonesia,Female,1955,Master's Degree
Learner 6672,Switzerland,Female,1955,Master's Degree
Learner 6678,India,Male,1955,Master's Degree
Learner 6683,China,Female,1955,Master's Degree
Learner 6685,Netherlands,Male,1955,Master's Degree
Learner 6688,Switzerland,Male,1955,Master's Degree
Learner 6697,China,Female,1955,Master's Degree
Learner 6704,Indonesia,Female,1955,Master's Degree
Learner 6714,Turkey,Male,1955,Academic Degree
Learner 6718,China,Male,1955,Master's Degree
Learner 6727,China,Female,1955,Master's Degree
Learner 6738,Switzerland,Female,1955,Academic Degree
Learner 6739,Mexico,Male,1955,Master's Degree
Learner 6744,India,Female,1955,Academic Degree
Learner 6754,China,Female,1955,Academic Degree
Learner 6767,India,Female,1955,Master's Degree
Learner 6778,Netherlands,Female,1955,Academic Degree
Learner 6798,Netherlands,Female,1955,Academic Degree
Learner 6808,Indonesia,Male,1955,Academic Degree
Learner 6829,Turkey,Female,1955,Master's Degree
Learner 6840,China,Female,1955,Master's Degree
Learner 6846,China,Male,1955,Academic Degree
Learner 6847,Ukraine,Male,1955,Academic Degree
Learner 6858,Switzerland,Male,1955,Academic Degree
Learner 6863,China,Male,1955,Academic Degree
Learner 6865,Japan,Female,1955,Master's Degree
Learner 6881,India,Male,1955,Master's Degree
Learner 6927,China,Female,1955,Master's Degree
Learner 6935,Switzerland,Female,1955,Master's Degree
Learner 6938,Switzerland,Female,1955,Master's Degree
Learner 6945,Turkey,Female,1955,Academic Degree
Learner 6949,Indonesia,Female,1955,Academic Degree
Learner 6967,Brazil,Female,1955,Academic Degree
Learner 6969,China,Female,1955,Academic Degree
Learner 6982,Turkey,Female,1955,Academic Degree
Learner 6997,Ukraine,Male,1955,Master's Degree
Learner 7005,India,Male,1955,Master's Degree
