Date shift from current,Enroll,Unenroll,Total
-212,176,0,176
-211,160,0,336
-210,192,0,528
-209,144,0,672
-208,256,0,928
-207,152,0,1080
-206,160,0,1240
-205,144,0,1384
-204,176,0,1560
-203,168,0,1728
-202,144,0,1872
-201,56,12,1916
-200,48,18,1946
-199,40,0,1986
-198,24,12,1998
-197,24,18,2004
-196,16,18,2002
-195,24,12,2014
-194,56,6,2064
-193,56,0,2120
-192,32,0,2152
-191,40,12,2180
-190,48,12,2216
-189,24,6,2234
-188,40,0,2274
-187,16,12,2278
-186,24,6,2296
-185,24,12,2308
-184,56,12,2352
-183,24,6,2370
-182,56,6,2420
-181,24,0,2444
-180,40,12,2472
-179,56,18,2510
-178,56,18,2548
-177,48,0,2596
-176,56,12,2640
-175,24,18,2646
-174,16,12,2650
-173,32,0,2682
-172,64,0,2746
-171,32,12,2766
-170,24,0,2790
-169,32,0,2822
-168,64,18,2868
-167,16,18,2866
-166,48,18,2896
-165,48,6,2938
-164,64,12,2990
-163,32,18,3004
-162,16,12,3008
-161,40,6,3042
-160,48,0,3090
-159,56,0,3146
-158,40,12,3174
-157,56,0,3230
-156,32,18,3244
-155,24,6,3262
-154,16,6,3272
-153,64,0,3336
-152,32,6,3362
-151,48,6,3404
-150,56,18,3442
-149,40,12,3470
-148,32,18,3484
-147,56,6,3534
-146,32,6,3560
-145,32,12,3580
-144,40,18,3602
-143,32,12,3622
-142,32,12,3642
-141,24,6,3660
-140,48,12,3696
-139,40,18,3718
-138,24,18,3724
-137,40,6,3758
-136,64,18,3804
-135,24,12,3816
-134,40,0,3856
-133,48,12,3892
-132,24,18,3898
-131,48,12,3934
-130,56,12,3978
-129,64,0,4042
-128,48,18,4072
-127,40,12,4100
-126,48,18,4130
-125,24,6,4148
-124,24,6,4166
-123,56,0,4222
-122,32,6,4248
-121,64,0,4312
-120,24,18,4318
-119,16,18,4316
-118,64,18,4362
-117,64,0,4426
-116,48,0,4474
-115,40,0,4514
-114,32,18,4528
-113,56,12,4572
-112,16,18,4570
-111,48,0,4618
-110,56,18,4656
-109,32,12,4676
-108,24,0,4700
-107,40,6,4734
-106,24,6,4752
-105,56,6,4802
-104,48,6,4844
-103,16,18,4842
-102,64,6,4900
-101,56,6,4950
-100,32,6,4976
-99,64,12,5028
-98,56,6,5078
-97,24,12,5090
-96,16,12,5094
-95,56,0,5150
-94,16,12,5154
-93,48,18,5184
-92,16,0,5200
-91,48,18,5230
-90,40,12,5258
-89,64,12,5310
-88,64,0,5374
-87,56,12,5418
-86,64,0,5482
-85,16,6,5492
-84,48,18,5522
-83,16,12,5526
-82,64,12,5578
-81,16,6,5588
-80,16,18,5586
-79,24,12,5598
-78,32,12,5618
-77,40,12,5646
-76,24,18,5652
-75,48,0,5700
-74,48,12,5736
-73,64,18,5782
-72,64,18,5828
-71,56,12,5872
-70,40,6,5906
-69,40,18,5928
-68,32,12,5948
-67,32,12,5968
-66,24,6,5986
-65,16,6,5996
-64,40,6,6030
-63,32,0,6062
-62,16,0,6078
-61,48,12,6114
-60,56,12,6158
-59,40,0,6198
-58,64,12,6250
-57,32,18,6264
-56,16,18,6262
-55,24,0,6286
-54,32,18,6300
-53,16,0,6316
-52,64,6,6374
-51,0,12,6362
-50,0,6,6356
-49,0,6,6350
-48,0,18,6332
-47,0,0,6332
-46,0,0,6332
-45,0,0,6332
-44,0,0,6332
-43,0,6,6326
-42,0,18,6308
-41,0,18,6290
-40,0,6,6284
-39,0,12,6272
-38,0,18,6254
-37,0,12,6242
-36,0,6,6236
-35,0,6,6230
-34,0,0,6230
-33,0,12,6218
-32,0,0,6218
-31,0,12,6206
-30,0,18,6188
-29,0,18,6170
-28,0,0,6170
-27,0,0,6170
-26,0,6,6164
-25,0,12,6152
-24,0,18,6134
-23,0,12,6122
-22,0,12,6110
-21,0,6,6104
-20,0,12,6092
-19,0,6,6086
-18,0,0,6086
-17,0,0,6086
-16,0,12,6074
-15,0,6,6068
-14,0,6,6062
-13,0,6,6056
-12,0,0,6056
-11,0,6,6050
-10,0,0,6050
-9,0,0,6050
-8,0,0,6050
-7,0,0,6050
-6,0,0,6050
-5,0,0,6050
-4,0,0,6050
-3,0,0,6050
-2,0,0,6050
-1,0,0,6050
0,0,0,6050
