Date shift from current,Enroll,Unenroll,Total
-212,122,0,122
-211,124,13,233
-210,114,11,336
-209,133,9,460
-208,119,12,567
-207,129,8,688
-206,127,10,805
-205,118,12,911
-204,126,9,1028
-203,125,12,1141
-202,122,4,1259
-201,123,1,1381
-200,113,4,1490
-199,27,6,1511
-198,25,1,1535
-197,25,3,1557
-196,28,5,1580
-195,28,6,1602
-194,30,3,1629
-193,26,1,1654
-192,28,2,1680
-191,27,4,1703
-190,30,1,1732
-189,25,0,1757
-188,25,3,1779
-187,27,1,1805
-186,25,3,1827
-185,28,3,1852
-184,30,2,1880
-183,28,4,1904
-182,30,2,1932
-181,25,1,1956
-180,27,3,1980
-179,25,3,2002
-178,25,2,2025
-177,27,0,2052
-176,26,6,2072
-175,26,3,2095
-174,26,2,2119
-173,29,5,2143
-172,27,1,2169
-171,25,1,2193
-170,28,4,2217
-169,28,5,2240
-168,28,0,2268
-167,25,4,2289
-166,25,2,2312
-165,28,3,2337
-164,30,3,2364
-163,28,1,2391
-162,26,0,2417
-161,26,4,2439
-160,27,3,2463
-159,28,1,2490
-158,27,6,2511
-157,25,6,2530
-156,26,4,2552
-155,25,5,2572
-154,26,3,2595
-153,26,6,2615
-152,29,6,2638
-151,28,0,2666
-150,28,4,2690
-149,25,5,2710
-148,29,2,2737
-147,25,2,2760
-146,26,3,2783
-145,25,1,2807
-144,30,1,2836
-143,28,3,2861
-142,28,6,2883
-141,28,1,2910
-140,27,1,2936
-139,28,0,2964
-138,25,6,2983
-137,27,5,3005
-136,25,6,3024
-135,30,6,3048
-134,28,2,3074
-133,29,5,3098
-132,25,1,3122
-131,25,6,3141
-130,30,3,3168
-129,25,3,3190
-128,26,2,3214
-127,25,2,3237
-126,26,3,3260
-125,28,5,3283
-124,29,4,3308
-123,25,3,3330
-122,25,1,3354
-121,28,4,3378
-120,27,3,3402
-119,27,6,3423
-118,28,4,3447
-117,28,4,3471
-116,28,0,3499
-115,29,1,3527
-114,25,1,3551
-113,27,1,3577
-112,27,5,3599
-111,29,6,3622
-110,27,0,3649
-109,29,4,3674
-108,25,6,3693
-107,25,2,3716
-106,28,3,3741
-105,27,3,3765
-104,29,4,3790
-103,29,2,3817
-102,26,3,3840
-101,26,4,3862
-100,29,5,3886
-99,27,0,3913
-98,25,5,3933
-97,25,3,3955
-96,28,6,3977
-95,30,5,4002
-94,29,4,4027
-93,27,5,4049
-92,30,3,4076
-91,30,5,4101
-90,28,1,4128
-89,28,5,4151
-88,25,2,4174
-87,25,3,4196
-86,27,1,4222
-85,29,4,4247
-84,27,3,4271
-83,26,0,4297
-82,30,3,4324
-81,29,5,4348
-80,28,3,4373
-79,28,1,4400
-78,30,0,4430
-77,27,5,4452
-76,27,3,4476
-75,30,5,4501
-74,26,0,4527
-73,27,6,4548
-72,27,2,4573
-71,26,2,4597
-70,27,2,4622
-69,30,6,4646
-68,30,3,4673
-67,26,0,4699
-66,26,3,4722
-65,30,5,4747
-64,30,1,4776
-63,29,2,4803
-62,26,1,4828
-61,30,1,4857
-60,26,5,4878
-59,26,5,4899
-58,29,2,4926
-57,29,6,4949
-56,27,3,4973
-55,27,2,4998
-54,27,0,5025
-53,29,4,5050
-52,29,2,5077
-51,28,6,5099
-50,26,3,5122
-49,25,4,5143
-48,29,0,5172
-47,27,4,5195
-46,30,4,5221
-45,28,1,5248
-44,29,3,5274
-43,26,4,5296
-42,26,5,5317
-41,25,0,5342
-40,29,2,5369
-39,28,2,5395
-38,26,0,5421
-37,30,1,5450
-36,30,1,5479
-35,27,5,5501
-34,25,1,5525
-33,26,1,5550
-32,28,5,5573
-31,30,4,5599
-30,28,1,5626
-29,27,2,5651
-28,27,2,5676
-27,25,6,5695
-26,28,5,5718
-25,30,1,5747
-24,28,5,5770
-23,25,4,5791
-22,29,3,5817
-21,25,4,5838
-20,26,4,5860
-19,25,4,5881
-18,26,1,5906
-17,26,2,5930
-16,27,1,5956
-15,28,6,5978
-14,28,4,6002
-13,30,5,6027
-12,27,4,6050
-11,30,5,6075
-10,28,4,6099
-9,26,4,6121
-8,28,1,6148
-7,26,1,6173
-6,26,6,6193
-5,30,2,6221
-4,27,5,6243
-3,30,2,6271
-2,26,6,6291
-1,26,1,6316
0,28,3,6341
