Subsection,Block,Assessment,Correct Answers,Incorrect Answers
Available Content Types,block-v1:rg+01+2019+type@problem+block@5882ac03229c443e82f3c51d191134e2,A Quick Test: Checkboxes,20,80
Available Content Types,block-v1:rg+01+2019+type@problem+block@b731dc3aeced4f1782e630366a7f6201,A Quick Test: Dropdown,90,10
Available Content Types,block-v1:rg+01+2019+type@problem+block@bb5b65a6380c4a9c9b3049a70f34f8f4,A Quick Test: Multiple Choice,80,20
Online Lecture/Conference + Quizzes,block-v1:rg+01+2019+type@problem+block@606ecef5360a46188f24021006a90890,Checkboxes,70,30
Online Lecture/Conference + Quizzes,block-v1:rg+01+2019+type@problem+block@9007b10b310748c6b0674d9fe25a0d44,Multiple Choice,30,70
Online Lecture/Conference + Quizzes,block-v1:rg+01+2019+type@problem+block@90d4b6e11eee426d9825c3cba8b2a9a4,Dropdown,50,50
Assessment Types,block-v1:rg+01+2019+type@problem+block@775309fd182a483daecf826f89ee8f21,Single/Multiple Choice,10,90
Assessment Types,block-v1:rg+01+2019+type@problem+block@3c66356f2b984cb3879ecaea764512f5,Free Text Response,80,20
Assessment Types,block-v1:rg+01+2019+type@problem+block@cad36d1762294e2988d586d8a097f598,Staff Graded Assignments,90,10
Assessment Types,block-v1:rg+01+2019+type@problem+block@bc500e6503354bf5996e68fa1252df0b,Numerical Input,85,15
